input,match,property_id,latitude,longitude,search_url,image_url,home_value,home_type,year_built,lot_size,price,beds,baths,sqft
601 S GROVE AV,601 S Grove Ave,13249170,41.8781898,-87.7956556,/IL/Oak-Park/601-S-Grove-Ave-60304/home/13249170,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=601+S+Grove+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=4kkP-eESoueALwzqU4HEmN9ug30='],425000.0,Single-family,1920,4950.0,,4.0,2.0,2121.0
609 WESLEY AVE,609 Wesley Ave,13249109,41.8775702,-87.7920145,/IL/Oak-Park/609-Wesley-Ave-60304/home/13249109,['https://ssl.cdn-redfin.com/photo/68/mbphoto/657/genMid.10491657_0.jpg'],457000.0,Single-family,1913,6300.0,457000.0,4.0,2.5,1922.0
639 S ELMWOOD AVE,639 S Elmwood Ave,13249500,41.876623,-87.7858648,/IL/Oak-Park/639-S-Elmwood-Ave-60304/home/13249500,['https://ssl.cdn-redfin.com/photo/68/mbphoto/578/genMid.09164578_5.jpg'],715500.0,Single-family,1915,7980.0,715500.0,5.0,2.0,
933 EUCLID AV,933 N Euclid Ave,13273513,41.9029338,-87.7940122,/IL/Oak-Park/933-N-Euclid-Ave-60302/home/13273513,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=933+N+Euclid+Ave%2C+Oak+Park%2C+IL+60302&size=665x441&source=outdoor&client=gme-redfin&signature=_TKvxD_xFaaFHEGxAnMEk4yq1TM='],308000.0,Single-family,1923,6200.0,,4.0,2.5,2104.0
535 HIGHLAND AV,535 Highland Ave,13253017,41.8785662,-87.7821948,/IL/Oak-Park/535-Highland-Ave-60304/home/13253017,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=535+Highland+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=QAoJxdJxaDRU6PG5ySHzRYN3fiU='],232500.0,Single-family,1913,4199.0,,4.0,2.5,1544.0
515 CLINTON AVE,515 Clinton Ave,13249406,41.8791107,-87.7990991,/IL/Oak-Park/515-Clinton-Ave-60304/home/13249406,['https://ssl.cdn-redfin.com/photo/68/mbphoto/531/genMid.09916531_A.jpg'],102000.0,Single-family,1914,8999.0,592000.0,5.0,3.5,2800.0
714 S ELMWOOD AVE,714 S Elmwood Ave,13249679,41.87566497943234,-87.78528963497536,/IL/Oak-Park/714-S-Elmwood-Ave-60304/home/13249679,['https://ssl.cdn-redfin.com/photo/68/mbphoto/811/genMid.07212811_A.jpg'],605500.0,Single-family,1904,5320.0,,5.0,3.5,2702.0
1026 S HOME AVE,1026 Home Ave,13247585,41.869528,-87.7988302,/IL/Oak-Park/1026-Home-Ave-60304/home/13247585,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1026+Home+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=yFQdinziOLsKVBL7Uct4uqZAVFA='],,Single-family,1914,4566.0,,5.0,1.0,1572.0
804 WISCONSIN AVE,804 Wisconsin Ave,13248668,41.8751303,-87.8018264,/IL/Oak-Park/804-Wisconsin-Ave-60304/home/13248668,['https://ssl.cdn-redfin.com/photo/68/mbphoto/134/genMid.10819134_2.jpg'],480000.0,Single-family,1915,6250.0,480000.0,3.0,2.0,
1176 S OAK PARK,1176 S Oak Park Ave,13247937,41.8659395,-87.7934668,/IL/Oak-Park/1176-S-Oak-Park-Ave-60304/home/13247937,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1176+S+Oak+Park+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=QRpDH-eTposGJPY4PV0KGWeWLD8='],202000.0,Multi-family (2-4 unit),1913,4687.0,,4.0,2.0,2562.0
603 S LOMBARD AV,603 S Lombard Ave,13252233,41.8779571,-87.7797942,/IL/Oak-Park/603-S-Lombard-Ave-60304/home/13252233,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=603+S+Lombard+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=HpHnkPmZ2PyxzJgkMB2Pk5FqYpo='],,Single-family,1917,3125.0,,3.0,1.5,1320.0
840 WENONAH,840 Wenonah Ave,13249964,41.873866,-87.8005972,/IL/Oak-Park/840-Wenonah-Ave-60304/home/13249964,['https://ssl.cdn-redfin.com/photo/68/mbphoto/822/genMid.07910822_A.jpg'],427000.0,Single-family,1919,4164.0,359900.0,4.0,2.5,1896.0
1128 S GUNDERSON AV,1128 Gunderson Ave,13247684,41.8678843,-87.7862054,/IL/Oak-Park/1128-Gunderson-Ave-60304/home/13247684,['https://ssl.cdn-redfin.com/photo/68/mbphoto/745/genMid.11763745_0.jpg'],526000.0,Single-family,1915,4725.0,526000.0,5.0,2.5,2010.0
810 S TAYLOR AVE,810 S Taylor Ave,13250720,41.8740568,-87.777851,/IL/Oak-Park/810-S-Taylor-Ave-60304/home/13250720,['https://ssl.cdn-redfin.com/photo/68/mbphoto/864/genMid.09331864_2.jpg'],75500.0,Single-family,1917,3150.0,315000.0,3.0,2.0,1750.0
1016 S KENILWORTH,1016 S Kenilworth Ave,13247010,41.8698888,-87.7962637,/IL/Oak-Park/1016-S-Kenilworth-Ave-60304/home/13247010,['https://ssl.cdn-redfin.com/photo/68/mbphoto/516/genMid.08015516_0.jpg'],297500.0,Single-family,1917,4110.0,297500.0,4.0,2.0,1443.0
