input,match,property_id,latitude,longitude,search_url,image_url
516 WENONAH AV,516 Wenonah Ave,13249937,41.878977,-87.8007479,/IL/Oak-Park/516-Wenonah-Ave-60304/home/13249937,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=516+Wenonah+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=Pc1ozrL1R-HeCZ2W3_BCiBHJRMo=']
810 S CUYLER AVE,810 S Cuyler Ave,13250576,41.8739792,-87.7827193,/IL/Oak-Park/810-S-Cuyler-Ave-60304/home/13250576,['https://ssl.cdn-redfin.com/photo/68/mbphoto/211/genMid.10411211_1.jpg']
1178 S LYMAN AVE,1178 Lyman Ave,13251366,41.8661452,-87.7762921,/IL/Oak-Park/1178-Lyman-Ave-60304/home/13251366,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1178+Lyman+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=Myog26qgXVyuO4GxnyGzi6WVfP0=']
645 GARFIELD ST APT 2,645 Garfield St #2,12715839,41.8716494,-87.7910485,/IL/Oak-Park/645-Garfield-St-60304/unit-2/home/12715839,['https://ssl.cdn-redfin.com/photo/68/mbphoto/728/genMid.09156728_2.jpg']
620 S SCOVILLE AV,620 S Scoville Ave,13250251,41.8772264,-87.7877656,/IL/Oak-Park/620-S-Scoville-Ave-60304/home/13250251,['https://ssl.cdn-redfin.com/photo/68/mbphoto/428/genMid.11414428_0.jpg']
917 S LOMBARD AVE,917 S Lombard Ave,13250556,41.8720282,-87.7795807,/IL/Oak-Park/917-S-Lombard-Ave-60304/home/13250556,['https://ssl.cdn-redfin.com/photo/68/mbphoto/262/genMid.10545262_2.jpg']
630 S KENILWORTH,630 S Kenilworth Ave,13249992,41.8771602,-87.7969892,/IL/Oak-Park/630-S-Kenilworth-Ave-60304/home/13249992,['https://ssl.cdn-redfin.com/photo/68/mbphoto/772/genMid.11686772_0.jpg']
1040 S SCOVILLE AVE,1040 S Scoville Ave,13248317,41.8692622,-87.7874906,/IL/Oak-Park/1040-S-Scoville-Ave-60304/home/13248317,['https://ssl.cdn-redfin.com/photo/68/mbphoto/755/genMid.09576755_4.jpg']
1041 WENONAH AVE,1041 Wenonah Ave,13248209,41.869039,-87.8008042,/IL/Oak-Park/1041-Wenonah-Ave-60304/home/13248209,['https://ssl.cdn-redfin.com/photo/68/mbphoto/593/genMid.10657593_0.jpg']
803 WENONAH AVE,803 Wenonah Ave,13249625,41.8751852,-87.8011735,/IL/Oak-Park/803-Wenonah-Ave-60304/home/13249625,['https://ssl.cdn-redfin.com/photo/68/mbphoto/348/genMid.09881348_8.jpg']
1139 S EAST AVE,1139 S East Ave,13248232,41.867461,-87.7891954,/IL/Oak-Park/1139-S-East-Ave-60304/home/13248232,['https://ssl.cdn-redfin.com/photo/68/mbphoto/566/genMid.11992566_0.jpg']
829 S HUMPHREY,829 S Humphrey Ave,13251310,41.8734693,-87.7758913,/IL/Oak-Park/829-S-Humphrey-Ave-60304/home/13251310,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=41.8734693%2C-87.7758913&size=665x441&source=outdoor&client=gme-redfin&signature=7j1zlmmbW__mDRiI1sQTaMRbvTc=']
932 SO WESLEY AVE,,,,,,
629 S WENONAH AV,629 Wenonah Ave,13248824,41.8771272,-87.8012783,/IL/Oak-Park/629-Wenonah-Ave-60304/home/13248824,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=629+Wenonah+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=UiQ-bn0CH2RwbSKBOuLjEfWCdQQ=']
735 LYMAN AVE,735 Lyman Ave,13252948,41.8751201,-87.7772355,/IL/Oak-Park/735-Lyman-Ave-60304/home/13252948,['https://ssl.cdn-redfin.com/photo/68/mbphoto/014/genMid.09126014_2.jpg']
527 S SCOVILLE AVE,527 S Scoville Ave,13249722,41.8788833,-87.7798361,/IL/Oak-Park/527-S-Scoville-Ave-60304/home/13249722,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=527+S+Scoville+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=OfZYqAIcbK-ZzhUp-ROJoPlbNoQ=']
1020 S HUMPHREY AV,1020 S Humphrey Ave,13250324,41.8699704,-87.7752572,/IL/Oak-Park/1020-S-Humphrey-Ave-60304/home/13250324,['https://ssl.cdn-redfin.com/photo/68/mbphoto/714/genMid.07010714_2.jpg']
1142 S CUYLER AV,1142 S Cuyler Ave,13250369,41.8674197,-87.7825156,/IL/Oak-Park/1142-S-Cuyler-Ave-60304/home/13250369,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1142+S+Cuyler+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=13n6vfAmzimggEwyvqE9OhGij2o=']
946 S GUNDERSON AV,946 Gunderson Ave,13247915,41.8708779,-87.7863055,/IL/Oak-Park/946-Gunderson-Ave-60304/home/13247915,['https://ssl.cdn-redfin.com/photo/68/mbphoto/626/genMid.12070626_0.jpg']
1019 S GROVE,1019 S Grove Ave,13247756,41.869975,-87.7954939,/IL/Oak-Park/1019-S-Grove-Ave-60304/home/13247756,['https://ssl.cdn-redfin.com/photo/68/mbphoto/021/genMid.06568021_2.jpg']
